variable,mean,lower_bound,upper_bound
2,7425541.0,7425541.0,7425541.0
3,3967457.0,3967457.0,3967457.0
4,3329394.0,3329394.0,3329394.0
5,721071.0,721071.0,721071.0
6,455738.0,455738.0,455738.0
7,328811.0,328811.0,328811.0
8,274175.0,274175.0,274175.0
9,235950.0,235950.0,235950.0
10,236198.0,236198.0,236198.0
11,226145.0,226145.0,226145.0
12,219312.0,219312.0,219312.0
13,202920.0,202920.0,202920.0
14,199020.0,199020.0,199020.0
15,196820.0,196820.0,196820.0
16,184559.0,184559.0,184559.0
17,181643.0,181643.0,181643.0
18,178475.0,178475.0,178475.0
19,183247.0,183247.0,183247.0
20,188325.0,188325.0,188325.0
21,199526.0,199526.0,199526.0
22,196247.0,196247.0,196247.0
23,193615.0,193615.0,193615.0
24,178845.0,178845.0,178845.0
25,175044.0,175044.0,175044.0
26,167006.0,167006.0,167006.0
27,175207.0,175207.0,175207.0
28,174664.0,174664.0,174664.0
29,173413.0,173413.0,173413.0
30,158498.0,158498.0,158498.0
31,157750.0,157750.0,157750.0
32,155220.0,155220.0,155220.0
33,154894.0,154894.0,154894.0
34,140665.0,140665.0,140665.0
35,135069.0,135069.0,135069.0
36,128513.0,128513.0,128513.0
37,119605.0,119605.0,119605.0
38,115593.0,115593.0,115593.0
39,108571.0,108571.0,108571.0
40,105558.0,105558.0,105558.0
41,100763.0,100763.0,100763.0
42,94261.0,94261.0,94261.0
43,89610.0,89610.0,89610.0
44,88010.0,88010.0,88010.0
45,89447.0,89447.0,89447.0
46,90754.0,90754.0,90754.0
47,87263.0,87263.0,87263.0
48,85977.0,85977.0,85977.0
49,89042.0,89042.0,89042.0
50,82800.0,82800.0,82800.0
51,79086.0,79086.0,79086.0
52,79314.0,79314.0,79314.0
53,79329.0,79329.0,79329.0
54,79335.0,79335.0,79335.0
55,77669.0,77669.0,77669.0
56,74282.0,74282.0,74282.0
57,71205.0,71205.0,71205.0
58,66977.0,66977.0,66977.0
59,65456.0,65456.0,65456.0
60,64660.0,64660.0,64660.0
61,63761.0,63761.0,63761.0
62,61880.0,61880.0,61880.0
63,58283.0,58283.0,58283.0
64,57266.0,57266.0,57266.0
65,57659.0,57659.0,57659.0
66,58209.0,58209.0,58209.0
67,58504.0,58504.0,58504.0
68,56355.0,56355.0,56355.0
69,53431.0,53431.0,53431.0
70,48697.0,48697.0,48697.0
71,47212.0,47212.0,47212.0
72,46179.0,46179.0,46179.0
73,45233.0,45233.0,45233.0
74,42494.0,42494.0,42494.0
75,40511.0,40511.0,40511.0
76,39496.0,39496.0,39496.0
77,36377.0,36377.0,36377.0
78,36103.0,36103.0,36103.0
79,39896.0,39896.0,39896.0
80,39838.0,39838.0,39838.0
81,40524.0,40524.0,40524.0
82,40352.0,40352.0,40352.0
83,41826.0,41826.0,41826.0
84,37662.0,37662.0,37662.0
85,35576.0,35576.0,35576.0
86,33530.0,33530.0,33530.0
87,33244.0,33244.0,33244.0
88,32815.0,32815.0,32815.0
89,32401.0,32401.0,32401.0
90,31221.0,31221.0,31221.0
91,32907.0,32907.0,32907.0
92,32367.0,32367.0,32367.0
93,31401.0,31401.0,31401.0
94,28884.0,28884.0,28884.0
95,27108.0,27108.0,27108.0
96,29090.0,29090.0,29090.0
97,28428.0,28428.0,28428.0
98,27274.0,27274.0,27274.0
99,27052.0,27052.0,27052.0
100,26937.0,26937.0,26937.0
101,24654.0,24654.0,24654.0
102,23828.0,23828.0,23828.0
103,22458.0,22458.0,22458.0
104,22152.0,22152.0,22152.0
105,20847.0,20847.0,20847.0
106,21198.0,21198.0,21198.0
107,21989.0,21989.0,21989.0
108,19636.0,19636.0,19636.0
109,18787.0,18787.0,18787.0
110,18041.0,18041.0,18041.0
111,18648.0,18648.0,18648.0
112,17264.0,17264.0,17264.0
113,16580.0,16580.0,16580.0
114,16186.0,16186.0,16186.0
115,16098.0,16098.0,16098.0
116,16725.0,16725.0,16725.0
117,18059.0,18059.0,18059.0
118,19321.0,19321.0,19321.0
119,19382.0,19382.0,19382.0
120,20110.0,20110.0,20110.0
121,19953.0,19953.0,19953.0
122,20906.0,20906.0,20906.0
123,19964.0,19964.0,19964.0
124,19133.0,19133.0,19133.0
125,20898.0,20898.0,20898.0
126,20125.0,20125.0,20125.0
