variable,mean,lower_bound,upper_bound
2.0,99.75675027114968,99.71551776030368,99.80965292841648
3.0,46.57831494034708,46.546317245119305,46.61537418655097
4.0,38.010575650759215,37.98214723427332,38.04342706073753
5.0,10.740349105206075,10.724511930585683,10.757364154013015
6.0,7.261235764642082,7.247784571583514,7.276708242950108
7.0,5.683205802603037,5.672358731019522,5.696491052060738
8.0,5.165097342733189,5.154962039045553,5.177603036876356
9.0,4.677773996746204,4.667930992407809,4.6910249457700655
10.0,4.662785249457701,4.65279284164859,4.675205802603037
11.0,4.652260845986985,4.642442922993492,4.664316702819956
12.0,4.420657131236442,4.410927331887201,4.431713394793927
13.0,4.335438449023861,4.324566160520607,4.347613882863341
14.0,4.0413340563991325,4.031271556399132,4.05223942516269
15.0,3.993754202819957,3.984273318872017,4.004880694143167
16.0,3.7516347613882863,3.742272234273319,3.7620661605206074
17.0,3.436350460954447,3.4279635303687637,3.445905639913232
18.0,3.4078008405639912,3.398590021691974,3.4168926247288502
19.0,3.112884625813449,3.1031724511930587,3.1230094902386116
20.0,2.9253527657266813,2.9175704989154014,2.9340181670281997
21.0,2.8570482646420823,2.8496012744034704,2.8656453362255965
22.0,2.7678522234273317,2.7591728579175703,2.77765726681128
23.0,2.7469989154013015,2.7391077819956617,2.7563720173535793
24.0,2.4575207429501083,2.450515184381779,2.46529284164859
25.0,2.0845797180043384,2.076824701735358,2.0927331887201737
26.0,2.0030002711496744,1.9964288232104122,2.0115238611713666
27.0,1.9293499186550975,1.922857917570499,1.936822125813449
28.0,1.785087039045553,1.7783351409978307,1.7923424620390456
29.0,1.7481666214750542,1.742226003253796,1.7543383947939262
30.0,1.8130466377440349,1.8066702819956617,1.8210412147505424
31.0,1.7791898047722343,1.7731832971800434,1.7868763557483731
32.0,1.690685737527115,1.6847422722342733,1.6975756507592192
33.0,1.6941111713665944,1.6884490238611713,1.7007863340563991
34.0,1.6448341919739695,1.6386930585683297,1.6512090563991324
35.0,1.6567748101952278,1.6511197125813448,1.6636388286334056
36.0,1.7217363069414315,1.715970715835141,1.7284867136659436
37.0,1.6767909436008677,1.6694223156182213,1.6837039045553146
38.0,1.635192380694143,1.6291565889370931,1.6422611171366595
39.0,1.471911740780911,1.4664667841648589,1.4783511388286334
40.0,1.4201336767895878,1.414587852494577,1.4272394251626899
