variable,mean,lower_bound,upper_bound
2.0,735805.79,735501.659,736196.0
3.0,343561.651,343325.636,343835.0
4.0,280366.006,280156.318,280608.318
5.0,79220.815,79104.0,79346.318
6.0,53558.875,53459.659,53673.0
7.0,41919.326,41839.318,42017.318
8.0,38097.758,38023.0,38190.0
9.0,34503.261,34430.659,34601.0
10.0,34392.704,34319.0,34484.318
11.0,34315.076,34242.659,34404.0
12.0,32606.767,32535.0,32688.318
13.0,31978.194,31898.0,32068.0
14.0,29808.88,29734.659,29889.318
15.0,29457.931,29388.0,29540.0
16.0,27672.058,27603.0,27749.0
17.0,25346.521,25284.659,25417.0
18.0,25135.939,25068.0,25203.0
19.0,22960.637,22889.0,23035.318
20.0,21577.402,21520.0,21641.318
21.0,21073.588,21018.659,21137.0
22.0,20415.678,20351.659,20488.0
23.0,20261.864,20203.659,20331.0
24.0,18126.673,18075.0,18184.0
25.0,15375.86,15318.659,15436.0
26.0,14774.13,14725.659,14837.0
27.0,14230.885,14183.0,14286.0
28.0,13166.802,13117.0,13220.318
29.0,12894.477,12850.659,12940.0
30.0,13373.032,13326.0,13432.0
31.0,13123.304,13079.0,13180.0
32.0,12470.498,12426.659,12521.318
33.0,12495.764,12454.0,12545.0
34.0,12132.297,12087.0,12179.318
35.0,12220.371,12178.659,12271.0
36.0,12699.527,12657.0,12749.318
37.0,12368.01,12313.659,12419.0
38.0,12061.179,12016.659,12113.318
39.0,10856.821,10816.659,10904.318
40.0,10474.906,10434.0,10527.318
41.0,10946.114,10904.0,10994.318
42.0,11615.387,11570.0,11668.0
43.0,12940.608,12898.0,12989.0
44.0,13765.124,13718.0,13820.318
45.0,13292.169,13243.318,13346.0
46.0,11483.876,11443.0,11534.0
47.0,10820.941,10777.0,10872.0
48.0,11414.286,11366.0,11464.0
49.0,11188.367,11143.0,11234.318
50.0,10763.05,10722.659,10816.0
51.0,11589.236,11545.0,11635.0
52.0,11399.513,11358.659,11450.0
53.0,10632.059,10593.0,10681.0
54.0,10604.463,10563.0,10651.0
55.0,10822.705,10778.659,10873.318
56.0,10490.561,10448.0,10534.0
57.0,9755.267,9712.0,9803.0
58.0,9699.942,9657.0,9744.0
59.0,10666.789,10626.0,10717.0
60.0,10011.732,9968.659,10059.0
61.0,9621.443,9585.0,9665.0
62.0,9312.535,9275.0,9358.318
63.0,6592.99,6559.659,6632.0
64.0,6224.196,6192.0,6259.0
65.0,5636.542,5603.0,5673.0
66.0,6252.408,6222.0,6290.0
67.0,5436.291,5406.0,5469.0
68.0,5532.62,5501.659,5567.0
69.0,5406.615,5378.0,5438.0
70.0,5430.225,5397.0,5462.318
71.0,5273.749,5244.0,5311.0
72.0,4898.217,4869.0,4931.0
73.0,5370.95,5341.0,5402.318
74.0,4915.478,4885.0,4948.0
75.0,4484.219,4456.0,4515.0
76.0,4369.979,4343.659,4402.0
77.0,4357.738,4331.0,4387.0
78.0,4324.439,4297.659,4354.0
79.0,4084.0,4058.0,4112.0
80.0,4161.275,4134.659,4191.0
81.0,4422.598,4397.0,4454.0
82.0,3762.137,3737.0,3794.0
83.0,3497.015,3472.0,3526.0
84.0,3724.846,3700.0,3754.318
85.0,3721.921,3697.0,3751.0
86.0,3421.936,3398.0,3451.0
87.0,3300.963,3277.0,3330.0
88.0,3130.531,3106.0,3156.0
89.0,2913.803,2891.0,2938.0
90.0,3112.435,3089.0,3139.0
91.0,3568.107,3542.0,3595.0
92.0,3717.879,3693.0,3746.0
93.0,3704.005,3679.0,3731.0
94.0,3809.055,3783.659,3838.0
95.0,3052.799,3029.0,3077.0
96.0,2559.135,2538.0,2583.318
97.0,2255.367,2236.659,2277.0
98.0,2089.101,2071.0,2111.0
99.0,1868.136,1850.0,1887.0
100.0,1494.331,1479.0,1513.0
101.0,1268.132,1253.0,1285.0
102.0,859.296,847.0,871.3180000000001
103.0,592.113,583.0,604.0
104.0,436.521,427.0,446.0
105.0,291.083,284.0,299.0
106.0,282.201,275.0,290.0
107.0,179.716,174.0,186.0
108.0,139.206,134.0,145.0
109.0,101.216,97.0,106.0
110.0,64.673,61.0,68.0
111.0,40.683,38.0,43.0
112.0,27.791,25.0,30.0
113.0,18.914,17.0,21.0
