variable,mean,lower_bound,upper_bound
2.0,1332802.779,1331172.95,1334472.35
3.0,670297.15,669053.7,671537.15
4.0,548912.502,547762.0,550047.1
5.0,145854.978,145239.8,146449.1
6.0,94582.604,94056.55,95102.05
7.0,69759.232,69366.0,70193.15
8.0,57830.911,57454.0,58227.05
9.0,52230.203,51881.0,52590.05
10.0,49994.352,49633.9,50367.15
11.0,47789.176,47432.0,48152.05
12.0,45393.638,45052.0,45726.0
13.0,43100.606,42766.85,43409.0
14.0,41853.876,41526.95,42183.3
15.0,39933.232,39599.95,40253.05
16.0,41719.443,41372.9,42053.15
17.0,39805.891,39452.9,40137.15
18.0,37273.167,36943.95,37617.0
19.0,37494.798,37163.95,37832.05
20.0,37208.807,36894.95,37515.0
21.0,38247.143,37917.7,38552.05
22.0,37345.314,37036.9,37662.25
23.0,34803.851,34495.0,35110.1
24.0,35129.372,34819.0,35447.35
25.0,34169.672,33865.75,34460.05
26.0,32825.86,32553.95,33112.3
27.0,32878.262,32581.0,33183.25
28.0,30839.486,30544.8,31133.15
29.0,29970.549,29678.8,30257.05
30.0,28500.401,28228.7,28753.1
31.0,28980.108,28715.75,29255.25
32.0,27476.921,27189.9,27758.0
33.0,27578.035,27309.9,27845.05
34.0,27388.097,27126.95,27660.05
35.0,27039.269,26773.95,27317.15
36.0,25673.745,25423.0,25932.0
37.0,25208.774,24942.95,25473.15
38.0,26165.282,25905.9,26421.0
39.0,24666.173,24404.95,24944.05
40.0,24931.942,24675.85,25187.0
41.0,24093.226,23849.0,24357.05
42.0,23255.504,22986.95,23504.0
43.0,21429.299,21174.95,21669.1
44.0,21420.654,21201.85,21647.1
45.0,19494.759,19254.85,19745.0
46.0,19109.529,18886.0,19339.05
47.0,19688.818,19454.95,19913.15
48.0,18769.601,18547.0,18987.0
49.0,18702.677,18479.0,18936.05
50.0,18085.341,17869.95,18296.0
51.0,17582.299,17372.95,17810.05
52.0,17286.726,17084.0,17506.1
53.0,17317.175,17108.95,17537.05
54.0,18230.649,18009.85,18451.1
55.0,17871.732,17653.95,18094.05
56.0,16033.602,15820.95,16242.05
57.0,15344.06,15140.0,15545.1
58.0,15707.565,15507.0,15910.05
59.0,14791.156,14591.95,14980.449999999999
60.0,14309.069,14119.95,14504.1
61.0,14312.58,14116.85,14499.1
62.0,13690.829,13499.95,13873.0
63.0,12880.399,12701.0,13066.0
64.0,12651.98,12468.95,12839.1
65.0,11758.361,11574.95,11933.05
66.0,10617.188,10448.75,10776.05
67.0,10410.0,10242.95,10573.05
68.0,10338.425,10186.95,10506.0
69.0,9364.873,9217.0,9517.0
70.0,9320.702,9156.0,9482.0
71.0,9112.961,8954.95,9271.0
72.0,9554.415,9395.9,9712.0
73.0,9043.682,8888.9,9192.05
74.0,9043.83,8890.95,9185.0
75.0,8993.656,8841.0,9149.05
76.0,9164.874,9002.9,9323.05
77.0,9820.833,9663.0,9980.0
78.0,10212.631,10045.95,10374.0
79.0,10611.16,10444.0,10785.0
80.0,10427.495,10263.0,10589.05
81.0,10142.407,9983.95,10297.1
82.0,9519.19,9353.95,9685.0
83.0,10077.906,9912.0,10252.05
84.0,9612.807,9450.0,9774.05
85.0,10929.22,10768.0,11097.0
86.0,11646.758,11469.0,11817.0
87.0,10918.588,10757.8,11097.3
88.0,10099.6,9931.0,10277.05
89.0,10298.28,10126.95,10464.0
90.0,10332.372,10166.95,10508.05
91.0,9605.73,9439.95,9770.05
92.0,9784.594,9626.95,9945.0
93.0,10406.304,10238.95,10589.05
94.0,9855.518,9697.0,10016.0
95.0,8889.627,8730.95,9049.0
96.0,8826.5,8667.9,8983.0
97.0,8259.706,8101.9,8406.0
98.0,7482.66,7338.0,7627.0
99.0,7076.651,6933.9,7221.1
100.0,7215.293,7077.0,7374.0
101.0,6993.794,6860.0,7124.25
102.0,7133.398,6997.0,7274.05
103.0,6549.851,6412.0,6685.0
104.0,5367.687,5245.95,5489.0
105.0,4726.116,4615.0,4838.15
106.0,4486.911,4382.0,4595.0
107.0,4838.007,4723.95,4956.05
108.0,5234.76,5109.95,5357.05
109.0,5609.943,5484.0,5736.0
110.0,4689.094,4579.95,4803.05
111.0,4051.903,3955.0,4154.05
112.0,3939.352,3827.95,4046.0
113.0,3555.346,3456.0,3652.05
114.0,3456.224,3357.95,3552.0
115.0,3869.011,3771.0,3977.05
116.0,3490.038,3396.0,3590.0
117.0,3823.552,3723.0,3929.0
118.0,3923.832,3823.95,4026.05
119.0,3601.983,3500.9,3700.1
120.0,3993.668,3887.95,4095.05
121.0,4488.636,4385.95,4596.05
122.0,4023.532,3919.0,4130.1
123.0,4093.119,3986.95,4209.05
124.0,3813.202,3716.0,3919.1
125.0,4387.478,4278.95,4496.05
126.0,4792.077,4676.0,4908.0
127.0,4990.029,4879.95,5102.0
128.0,5096.158,4982.95,5218.0
129.0,4458.405,4346.0,4569.1
130.0,4608.955,4503.0,4722.15
131.0,4801.096,4691.0,4920.05
132.0,5106.867,4988.0,5223.0
133.0,5210.247,5090.0,5328.05
134.0,4520.867,4406.95,4632.25
135.0,4318.976,4214.0,4427.05
136.0,4736.895,4622.0,4849.0
137.0,4510.326,4408.95,4621.0
138.0,4607.732,4494.0,4719.1
139.0,5620.094,5496.95,5737.05
140.0,6150.113,6024.95,6278.0
141.0,5513.126,5394.95,5627.05
142.0,3973.405,3867.0,4077.1
143.0,3189.302,3102.0,3275.0
144.0,3003.233,2913.0,3097.0
145.0,2737.283,2654.0,2820.0
146.0,2803.748,2717.0,2889.05
147.0,3365.624,3265.95,3462.0
148.0,3461.431,3370.0,3559.0
149.0,3387.362,3289.0,3477.0
150.0,3305.147,3213.0,3399.0
151.0,3477.995,3386.0,3572.0
152.0,3237.729,3144.0,3326.1
153.0,3447.739,3348.0,3543.0
154.0,3538.874,3445.0,3629.05
155.0,3632.643,3534.95,3733.0
156.0,3629.735,3530.0,3727.0
157.0,3608.39,3512.0,3708.05
158.0,3619.284,3521.95,3712.0
159.0,3081.256,2992.95,3172.05
160.0,3117.93,3026.95,3214.05
161.0,3630.101,3530.0,3736.0
162.0,3321.153,3237.0,3413.0
163.0,2878.36,2788.0,2968.0
164.0,3352.82,3259.0,3448.0
165.0,2891.505,2803.0,2977.0
166.0,2401.211,2321.0,2480.05
167.0,2620.802,2537.95,2710.0
168.0,2158.183,2080.0,2234.05
169.0,2275.0,2193.95,2354.0
170.0,2060.282,1989.9,2133.0
171.0,1748.648,1681.95,1820.05
172.0,1819.632,1748.0,1888.05
173.0,2110.055,2033.95,2181.05
174.0,1871.489,1797.95,1943.0
175.0,1745.299,1673.95,1810.0
176.0,1566.757,1501.95,1633.0
177.0,1454.658,1387.95,1517.05
178.0,1653.834,1588.0,1717.0
179.0,1470.306,1404.0,1531.05
180.0,1364.754,1303.0,1429.0
181.0,1189.066,1130.95,1250.0
182.0,1367.371,1302.0,1428.0
183.0,1378.978,1318.0,1438.0
184.0,1228.359,1170.0,1286.05
185.0,942.558,892.0,992.0
186.0,1069.809,1016.0,1123.05
187.0,936.461,886.95,987.0
188.0,852.987,806.95,904.0
189.0,787.549,741.0,834.05
190.0,743.653,699.0,786.05
191.0,831.75,786.0,878.0
192.0,891.219,841.0,938.0
193.0,829.889,783.95,875.05
194.0,880.948,832.0,934.0
195.0,1317.005,1256.95,1374.05
196.0,1310.051,1252.0,1370.0
197.0,1189.043,1133.0,1249.0
198.0,623.142,581.0,667.0
199.0,295.775,268.95,324.0
200.0,201.342,179.0,225.0
201.0,194.131,171.0,218.0
202.0,138.948,120.0,157.04999999999995
203.0,120.376,103.0,138.04999999999995
204.0,131.676,113.0,151.04999999999995
205.0,132.761,113.95,152.04999999999995
206.0,102.162,86.0,120.0
207.0,89.299,74.0,105.0
208.0,68.695,55.0,82.0
209.0,46.892,36.0,58.0
210.0,20.154,13.0,28.0
211.0,23.868,16.0,33.0
212.0,8.111,4.0,13.0
213.0,2.3200934579439254,,
