variable,mean,lower_bound,upper_bound
2.0,735805.79,734599.9,736967.05
3.0,343561.651,342675.6,344476.05
4.0,280366.006,279597.95,281159.2
5.0,79220.815,78756.0,79686.4
6.0,53558.875,53190.85,53928.15
7.0,41919.326,41582.8,42241.0
8.0,38097.758,37782.95,38410.0
9.0,34503.261,34200.95,34789.25
10.0,34392.704,34092.6,34706.05
11.0,34315.076,34009.95,34610.25
12.0,32606.767,32313.0,32901.05
13.0,31978.194,31681.8,32274.05
14.0,29808.88,29519.0,30088.1
15.0,29457.931,29178.75,29754.05
16.0,27672.058,27410.0,27951.05
17.0,25346.521,25077.95,25606.05
18.0,25135.939,24867.0,25396.05
19.0,22960.637,22717.95,23217.0
20.0,21577.402,21352.0,21818.1
21.0,21073.588,20845.95,21294.05
22.0,20415.678,20183.85,20648.15
23.0,20261.864,20026.95,20482.05
24.0,18126.673,17913.55,18344.0
25.0,15375.86,15180.9,15585.1
26.0,14774.13,14568.0,14952.0
27.0,14230.885,14054.0,14415.15
28.0,13166.802,12984.9,13359.0
29.0,12894.477,12711.95,13087.0
30.0,13373.032,13177.95,13556.05
31.0,13123.304,12944.75,13310.0
32.0,12470.498,12292.0,12650.0
33.0,12495.764,12314.95,12683.05
34.0,12132.297,11958.0,12313.0
35.0,12220.371,12039.0,12402.0
36.0,12699.527,12516.9,12885.0
37.0,12368.01,12200.9,12551.05
38.0,12061.179,11880.95,12240.0
39.0,10856.821,10682.0,11038.0
40.0,10474.906,10304.0,10647.05
41.0,10946.114,10768.95,11117.05
42.0,11615.387,11431.95,11795.0
43.0,12940.608,12763.95,13124.05
44.0,13765.124,13579.0,13949.0
45.0,13292.169,13095.95,13491.0
46.0,11483.876,11301.0,11669.05
47.0,10820.941,10647.0,10990.05
48.0,11414.286,11243.0,11593.05
49.0,11188.367,11017.0,11368.05
50.0,10763.05,10590.85,10923.05
51.0,11589.236,11413.95,11756.1
52.0,11399.513,11225.0,11572.0
53.0,10632.059,10455.95,10797.05
54.0,10604.463,10444.0,10765.1
55.0,10822.705,10649.95,10996.0
56.0,10490.561,10331.0,10659.05
57.0,9755.267,9590.85,9915.1
58.0,9699.942,9543.95,9866.0
59.0,10666.789,10500.9,10834.0
60.0,10011.732,9836.0,10186.0
61.0,9621.443,9464.95,9784.2
62.0,9312.535,9149.0,9470.05
63.0,6592.99,6455.95,6726.15
64.0,6224.196,6096.0,6354.05
65.0,5636.542,5509.0,5760.05
66.0,6252.408,6124.0,6375.0
67.0,5436.291,5311.0,5563.0
68.0,5532.62,5414.0,5646.05
69.0,5406.615,5282.9,5532.0
70.0,5430.225,5311.95,5556.1
71.0,5273.749,5144.95,5394.0
72.0,4898.217,4781.0,5020.1
73.0,5370.95,5260.0,5490.0
74.0,4915.478,4803.95,5027.0
75.0,4484.219,4370.0,4594.0
76.0,4369.979,4265.95,4479.0
77.0,4357.738,4248.85,4468.1
78.0,4324.439,4218.0,4434.0
79.0,4084.0,3982.9,4188.05
80.0,4161.275,4061.95,4261.0
81.0,4422.598,4315.95,4526.0
82.0,3762.137,3663.9,3865.05
83.0,3497.015,3404.95,3595.0
84.0,3724.846,3627.0,3820.05
85.0,3721.921,3621.0,3826.1
86.0,3421.936,3322.0,3521.05
87.0,3300.963,3201.95,3401.0
88.0,3130.531,3038.95,3226.05
89.0,2913.803,2825.0,3002.0
90.0,3112.435,3020.95,3204.05
91.0,3568.107,3469.0,3667.1
92.0,3717.879,3619.0,3815.0
93.0,3704.005,3609.0,3802.05
94.0,3809.055,3710.0,3910.0
95.0,3052.799,2966.95,3149.0
96.0,2559.135,2475.0,2644.1
97.0,2255.367,2177.95,2334.05
98.0,2089.101,2019.0,2161.05
99.0,1868.136,1799.0,1941.0
100.0,1494.331,1427.0,1555.05
101.0,1268.132,1211.95,1328.0
102.0,859.296,814.0,909.0
103.0,592.113,551.9,632.0
104.0,436.521,403.0,473.0
105.0,291.083,264.0,321.0
106.0,282.201,255.0,310.0
107.0,179.716,158.0,201.0
108.0,139.206,120.0,158.0
109.0,101.216,84.95,117.04999999999995
110.0,64.673,51.0,79.0
111.0,40.683,31.0,52.0
112.0,27.791,19.0,37.0
113.0,18.914,12.0,26.0
