Range Number
1-50 2477342
51-100 17830632
101-150 22080184
151-200 21375841
201-250 21190802
251-300 21097520
301-350 19330110
351-400 15057716
401-450 12803438
451-500 10228216
501-550  7218648
551-600  5431216
601-650  4052296
651-700  3211657
701-750  2718640
751-800  2292278
801-850  1830634
851-900  1557049
901-950  1211371
951-1000   943517
1001-1100   1620535
1101-1200   1134421
1201-1300    804734
1301-1400    523469
1401-1500    404002
1501-1600    302769
1601-1700    229449
1701-1800    179073
1801-1900    157667
1901-2000    134254
2001-2100    104592
2101-2200     95169
2201-2300     78986
2301-2400     62196
2401-2500     54031
>2500        578018
