variable,mean,lower_bound,upper_bound
2.0,2963421.642,2960984.35,2965888.2
3.0,1564907.992,1562904.8,1566881.0
4.0,1285141.601,1283500.15,1286868.3
5.0,331316.625,330358.7,332278.1
6.0,210037.867,209259.75,210763.2
7.0,158725.201,158096.55,159392.05
8.0,135673.998,135078.75,136277.15
9.0,117550.435,116994.0,118108.05
10.0,112734.781,112209.55,113261.0
11.0,106350.206,105831.95,106856.35
12.0,98174.355,97656.6,98665.05
13.0,91433.22,90969.9,91919.5
14.0,86608.311,86112.6,87101.1
15.0,83596.636,83121.9,84081.0
16.0,83944.687,83488.0,84402.45
17.0,81622.078,81139.0,82080.15
18.0,79002.541,78547.95,79478.1
19.0,74973.091,74527.95,75416.1
20.0,76743.213,76317.85,77253.1
21.0,78671.927,78196.8,79142.35
22.0,83353.693,82891.9,83832.15
23.0,89666.948,89146.75,90179.25
24.0,91480.178,91020.7,91959.4
25.0,91292.669,90845.0,91775.25
26.0,89166.733,88677.0,89627.1
27.0,83754.594,83256.95,84232.15
28.0,81029.409,80578.95,81493.25
29.0,77529.215,77070.95,77998.25
30.0,76855.336,76398.9,77307.1
31.0,73083.228,72637.0,73526.15
32.0,69874.034,69449.55,70311.35
33.0,65621.021,65198.95,66008.05
34.0,60339.088,59946.0,60743.25
35.0,58448.753,58053.85,58831.0
36.0,57477.056,57078.95,57867.15
37.0,54946.181,54544.75,55334.0
38.0,54327.272,53932.75,54707.2
39.0,54866.716,54500.9,55229.05
40.0,54845.822,54463.0,55242.1
41.0,56228.984,55855.0,56601.15
42.0,56391.953,56000.9,56780.1
43.0,53013.409,52626.95,53378.1
44.0,52168.385,51782.95,52558.1
45.0,49992.467,49636.0,50366.05
46.0,44876.149,44525.9,45226.15
47.0,45094.575,44745.0,45435.15
48.0,44477.547,44115.95,44812.0
49.0,41552.929,41224.95,41886.1
50.0,42495.304,42174.7,42827.25
51.0,40395.393,40064.7,40723.05
52.0,37988.092,37675.95,38305.2
53.0,35986.221,35674.95,36291.1
54.0,33999.365,33689.95,34306.05
55.0,35335.099,35036.0,35637.45
56.0,34170.593,33860.9,34486.0
57.0,31490.431,31189.9,31772.05
58.0,30209.218,29929.75,30502.05
59.0,28947.97,28678.8,29232.05
60.0,28126.458,27830.95,28399.1
61.0,28791.787,28507.0,29083.05
62.0,28364.737,28081.0,28627.2
63.0,27931.29,27670.95,28192.0
64.0,26573.483,26327.95,26840.0
65.0,26814.601,26556.8,27084.0
66.0,25754.751,25480.8,26019.15
67.0,24568.498,24308.95,24827.05
68.0,22158.487,21922.0,22394.15
69.0,23189.466,22928.0,23450.25
70.0,22517.864,22274.0,22769.0
71.0,21366.284,21117.85,21612.2
72.0,21258.201,21020.95,21484.1
73.0,22849.781,22607.95,23105.05
74.0,20508.501,20276.9,20756.0
75.0,18809.775,18581.5,19028.25
76.0,17681.841,17465.95,17907.0
77.0,17384.756,17163.95,17608.1
78.0,17446.004,17239.95,17662.0
79.0,18618.927,18399.9,18824.0
80.0,18265.057,18052.6,18477.05
81.0,18986.469,18765.9,19206.15
82.0,18153.735,17934.95,18388.1
83.0,18390.933,18171.0,18608.0
84.0,17742.467,17530.0,17957.05
85.0,18466.702,18241.95,18671.0
86.0,18302.581,18076.9,18518.0
