variable,mean,lower_bound,upper_bound
2.0,1223076.677,1221563.95,1224660.4
3.0,631721.397,630589.8,632851.2
4.0,513982.589,512935.85,515120.2
5.0,139112.04,138488.95,139705.0
6.0,88746.457,88277.95,89184.0
7.0,68180.069,67749.85,68617.25
8.0,59209.011,58804.95,59610.25
9.0,51560.991,51203.75,51937.05
10.0,49216.809,48847.95,49570.05
11.0,46178.449,45828.0,46553.1
12.0,43288.204,42945.95,43632.3
13.0,39849.071,39513.95,40182.35
14.0,37648.628,37310.9,37987.0
15.0,35920.873,35623.85,36239.0
16.0,36208.728,35889.95,36533.05
17.0,34727.242,34423.85,35030.2
18.0,33659.292,33362.8,33944.0
19.0,31436.76,31146.9,31725.0
20.0,30970.105,30694.95,31253.0
21.0,31541.332,31234.9,31831.0
22.0,32576.207,32280.9,32878.05
23.0,33945.5,33652.95,34267.05
24.0,33317.31,33016.85,33598.1
25.0,32758.365,32461.95,33054.0
26.0,31662.808,31369.95,31952.2
27.0,28772.718,28503.9,29045.05
28.0,28788.562,28525.95,29047.05
29.0,27939.634,27671.0,28197.0
30.0,28377.833,28095.9,28658.15
31.0,27140.916,26871.0,27420.05
32.0,26056.045,25803.95,26317.0
33.0,24116.322,23863.95,24378.0
34.0,22650.784,22402.95,22902.0
35.0,22436.262,22194.95,22693.3
36.0,22666.972,22415.95,22911.25
37.0,21702.855,21452.85,21946.0
38.0,21724.388,21472.95,21967.0
39.0,22312.249,22079.0,22547.1
40.0,21816.722,21575.8,22059.1
41.0,23287.076,23039.95,23537.15
42.0,24919.937,24665.95,25177.1
43.0,23233.614,22992.9,23487.05
44.0,22682.365,22435.0,22940.1
45.0,22191.73,21940.0,22428.0
46.0,19078.548,18848.9,19305.0
47.0,19134.049,18900.85,19352.05
48.0,19193.201,18968.9,19409.05
49.0,17658.992,17444.95,17884.0
50.0,18577.142,18357.9,18803.05
51.0,17985.965,17757.0,18197.1
52.0,16159.05,15963.85,16354.05
53.0,15378.848,15157.0,15585.05
54.0,13789.252,13593.95,13983.05
55.0,14019.542,13824.0,14203.1
56.0,13706.489,13518.0,13891.0
57.0,13260.245,13075.8,13459.0
58.0,13020.384,12832.85,13212.05
59.0,12966.645,12765.95,13152.1
60.0,12913.097,12728.95,13101.1
61.0,13269.579,13075.9,13471.15
62.0,13020.553,12825.95,13217.1
63.0,12971.799,12775.0,13163.15
64.0,12395.684,12207.95,12573.1
65.0,12320.75,12144.95,12509.05
66.0,11450.177,11271.0,11625.1
67.0,10447.997,10287.0,10605.05
68.0,9320.472,9161.95,9483.05
69.0,10494.11,10326.0,10659.0
70.0,9549.872,9396.9,9714.15
71.0,9034.092,8874.9,9188.0
72.0,8716.794,8561.85,8871.0
73.0,9966.385,9789.0,10127.1
74.0,8888.957,8740.0,9047.1
75.0,8559.369,8405.95,8717.0
76.0,8015.164,7878.0,8149.05
77.0,7959.047,7822.9,8105.05
78.0,7999.632,7852.0,8139.0
79.0,8458.039,8294.0,8607.0
80.0,8438.628,8284.0,8596.05
81.0,8671.154,8526.0,8824.05
82.0,7922.472,7774.0,8064.0
83.0,7850.958,7706.9,7996.05
84.0,7535.945,7397.95,7681.0
85.0,7881.547,7731.95,8026.05
86.0,7489.576,7343.9,7624.0
87.0,8067.106,7907.95,8217.0
88.0,7645.699,7502.0,7778.0
89.0,7050.006,6920.0,7186.05
90.0,7325.137,7189.8,7464.05
91.0,7085.732,6942.95,7218.05
92.0,5873.457,5750.95,6000.05
93.0,5452.941,5329.0,5576.0
94.0,5728.995,5605.95,5856.0
95.0,5779.41,5661.0,5905.1
96.0,5483.326,5360.9,5601.0
97.0,4863.732,4750.95,4967.05
98.0,5316.286,5200.0,5435.05
99.0,5298.503,5178.0,5420.05
100.0,5521.681,5403.0,5636.0
101.0,5281.272,5170.0,5401.0
102.0,5910.524,5788.95,6030.05
103.0,5716.971,5590.9,5842.0
104.0,5939.603,5808.0,6062.05
105.0,6222.742,6092.95,6345.15
106.0,5512.447,5388.9,5629.05
107.0,5140.631,5035.0,5253.05
108.0,5134.816,5018.0,5249.05
109.0,4348.412,4240.0,4456.05
110.0,4091.654,3988.0,4195.0
111.0,4035.573,3929.0,4135.0
112.0,3721.298,3626.95,3821.1
113.0,3422.942,3329.0,3517.05
114.0,3139.054,3048.0,3229.0
115.0,3418.674,3319.95,3515.0
116.0,3675.928,3577.95,3774.0
117.0,4063.066,3957.0,4170.05
118.0,4395.605,4283.95,4511.0
119.0,4153.937,4047.0,4258.0
120.0,4045.309,3942.95,4152.0
121.0,3701.414,3607.95,3793.05
122.0,3934.19,3824.95,4039.05
123.0,4144.967,4035.0,4246.05
124.0,3924.087,3819.0,4025.0
125.0,3968.885,3864.0,4068.05
126.0,3638.57,3541.0,3733.05
127.0,3635.794,3539.0,3732.05
128.0,3693.871,3596.0,3793.0
129.0,3838.495,3737.0,3937.0
130.0,3645.876,3546.0,3741.05
131.0,3583.571,3486.9,3685.0
132.0,2942.161,2849.95,3033.0
133.0,3157.712,3066.0,3259.0
134.0,2845.693,2756.0,2929.05
135.0,3118.611,3030.9,3216.05
136.0,3178.414,3081.95,3270.0
137.0,2915.538,2823.95,2999.1
138.0,3836.308,3733.95,3936.0
139.0,3729.321,3633.95,3830.0
140.0,3992.95,3881.0,4100.05
141.0,3178.864,3086.0,3272.0
142.0,3217.062,3126.0,3307.0
143.0,2867.607,2778.0,2956.0
144.0,3219.88,3124.95,3313.05
145.0,3138.451,3049.0,3229.05
146.0,2960.23,2870.95,3053.1499999999996
147.0,2840.163,2748.95,2929.0
148.0,2579.421,2497.95,2662.0
149.0,2527.376,2439.0,2612.05
150.0,2469.172,2389.0,2554.05
151.0,2524.431,2443.95,2609.05
152.0,2659.816,2574.95,2743.05
153.0,2946.101,2858.0,3034.0
154.0,2760.2,2676.0,2844.05
155.0,3232.855,3140.95,3331.05
156.0,3068.216,2978.95,3163.0
157.0,2978.348,2893.0,3069.0
158.0,2908.894,2819.95,2995.0
159.0,2663.386,2580.0,2748.05
160.0,2746.897,2658.95,2836.05
161.0,3131.953,3044.0,3221.0
162.0,2855.822,2771.0,2943.0
163.0,2287.652,2203.0,2366.0
164.0,2397.23,2317.95,2472.0
165.0,2527.427,2446.0,2611.0
166.0,2062.855,1991.0,2137.0
167.0,1760.737,1693.95,1828.0
168.0,2279.55,2203.95,2356.0
169.0,1933.055,1859.0,2010.05
170.0,1829.124,1761.0,1895.05
171.0,2071.456,1997.95,2141.05
172.0,1914.859,1842.9,1990.0
173.0,1626.33,1563.95,1690.0
174.0,1919.758,1847.95,1991.0
175.0,1903.918,1830.95,1982.05
176.0,1808.186,1738.95,1883.05
177.0,2036.599,1962.0,2112.0
178.0,2185.924,2109.0,2265.1
179.0,2414.536,2330.9,2503.05
180.0,2580.817,2494.0,2664.0
181.0,2534.312,2452.0,2616.1
182.0,1876.627,1808.95,1947.0
183.0,2091.642,2015.0,2166.05
184.0,2060.44,1988.95,2134.05
185.0,2112.842,2038.95,2185.0
186.0,1928.212,1857.0,2001.05
187.0,1818.554,1749.0,1887.0
188.0,1675.219,1607.0,1743.05
189.0,1757.534,1693.0,1823.0
190.0,1718.191,1651.0,1783.0
191.0,1460.327,1396.0,1524.0
192.0,1364.685,1304.0,1424.0
193.0,1307.074,1248.9,1365.05
194.0,1304.924,1249.0,1367.0
195.0,1392.561,1333.95,1453.05
196.0,1558.13,1493.0,1622.0
197.0,1472.154,1407.0,1532.0
198.0,1465.446,1401.0,1529.0
199.0,1358.001,1294.95,1419.0
200.0,1150.295,1094.0,1204.0
201.0,1296.771,1236.0,1354.05
202.0,1465.469,1404.0,1528.0
203.0,1317.269,1261.95,1377.05
204.0,1593.272,1525.0,1663.0
205.0,1736.642,1668.0,1806.05
206.0,1902.594,1831.0,1975.0
207.0,2004.583,1929.0,2081.0
208.0,1626.357,1558.95,1694.05
209.0,1415.344,1352.95,1479.05
210.0,1331.204,1269.0,1390.0
211.0,1423.966,1359.0,1488.0
212.0,1425.885,1368.0,1490.05
213.0,1512.955,1442.95,1580.0
214.0,1487.716,1426.0,1549.0
215.0,1276.777,1216.0,1336.05
216.0,1414.186,1353.0,1476.0
217.0,1238.197,1181.95,1295.0
218.0,1276.207,1219.0,1335.0
219.0,1224.195,1168.95,1282.0
220.0,1172.78,1118.0,1229.0
221.0,1186.118,1130.0,1243.05
222.0,1195.913,1142.95,1251.05
223.0,1315.378,1254.0,1374.0
224.0,1473.0,1414.0,1537.0
225.0,1324.565,1266.0,1380.0
226.0,1316.586,1259.0,1377.0
227.0,1432.638,1368.0,1496.0
228.0,1507.429,1442.0,1572.0
229.0,1427.25,1368.0,1492.05
230.0,1446.841,1384.0,1510.05
231.0,1382.678,1324.0,1442.0
232.0,1418.692,1359.0,1481.0
233.0,1286.049,1229.0,1346.0
234.0,1343.597,1279.0,1402.0
235.0,1551.151,1489.95,1613.05
236.0,1440.92,1383.0,1506.05
237.0,1246.027,1186.0,1304.0
238.0,1390.616,1330.95,1453.05
239.0,1474.066,1413.0,1533.0
240.0,1325.321,1263.95,1386.05
241.0,1255.425,1196.95,1314.05
242.0,1379.946,1318.95,1440.0
243.0,1478.616,1416.0,1539.0
244.0,1367.785,1306.0,1429.05
245.0,1386.481,1320.0,1448.0
246.0,1209.629,1156.95,1264.0
247.0,1298.286,1237.0,1357.0
248.0,1176.432,1117.0,1236.0
249.0,1203.88,1147.0,1258.0
250.0,1141.705,1089.0,1198.0
251.0,1262.442,1205.0,1321.05
252.0,1227.003,1168.0,1283.0
253.0,1061.817,1010.0,1112.05
254.0,1043.663,991.0,1097.0
255.0,1232.329,1175.95,1291.05
256.0,1287.582,1226.95,1347.05
257.0,1294.174,1235.0,1351.0
258.0,1099.936,1045.0,1156.05
259.0,1057.285,1001.0,1116.05
260.0,1142.429,1086.95,1199.0
261.0,1307.378,1247.95,1368.0
262.0,1034.682,984.0,1088.0
263.0,981.974,930.0,1032.05
264.0,1073.476,1020.0,1126.0
265.0,1185.564,1133.0,1241.0
266.0,1320.533,1259.0,1380.0
267.0,1678.695,1616.95,1750.0
268.0,1702.695,1635.95,1770.0
269.0,1357.817,1296.0,1420.0
270.0,1251.992,1197.95,1313.0
271.0,997.283,946.95,1048.0
272.0,1066.049,1012.95,1119.0
273.0,871.772,821.95,921.0
274.0,934.703,882.95,988.0
275.0,944.39,894.0,998.05
276.0,832.389,785.0,883.0
277.0,950.953,899.0,1003.0
278.0,884.169,836.0,933.0
279.0,960.199,911.95,1010.05
280.0,898.342,850.95,947.0
281.0,646.648,603.95,688.0
282.0,672.165,633.0,713.0
283.0,608.482,569.0,649.0
284.0,567.479,528.0,605.0
285.0,558.007,523.0,595.0
286.0,679.278,636.0,722.0
287.0,542.823,506.0,583.0
288.0,471.86,437.0,508.0
289.0,547.937,512.0,584.0
290.0,447.417,412.0,483.0
291.0,504.461,465.95,543.05
292.0,434.029,399.0,469.0
293.0,444.957,411.0,481.0
294.0,378.372,345.0,413.0
295.0,373.751,342.0,407.0
296.0,463.898,430.0,501.0
297.0,424.358,391.0,457.04999999999995
298.0,266.964,241.0,294.0
299.0,398.866,367.0,432.04999999999995
300.0,278.821,252.95,307.0
301.0,228.361,204.0,254.0
302.0,195.743,172.95,220.0
303.0,167.329,147.0,189.0
304.0,147.524,127.0,169.0
305.0,126.8,109.0,146.0
306.0,86.886,71.0,104.0
307.0,51.285,41.0,63.0
308.0,37.044,28.0,47.0
309.0,23.995,16.0,32.0
