,variable,mean,lower_bound,upper_bound
0,0,236.9,224.6,248.55
1,1,117.9,112.45,122.55
2,2,78.7,72.25,85.64999999999999
3,3,54.2,46.15,61.55
4,4,40.9,35.0,47.0
5,5,30.5,26.35,35.65
6,6,23.9,19.45,29.749999999999993
7,7,19.1,13.9,25.749999999999993
8,8,19.3,9.6,25.549999999999997
9,9,15.9,11.8,21.199999999999996
10,10,13.9,12.0,17.0
11,11,12.6,9.45,17.0
12,12,11.9,8.45,15.0
13,13,11.6,7.9,15.0
14,14,9.7,6.45,13.549999999999999
15,15,9.0,7.0,13.0
16,16,7.7,5.0,10.0
17,17,8.3,5.45,11.549999999999999
18,18,6.2,4.0,9.549999999999999
19,19,6.0,2.9,9.0
20,20,5.2,3.0,8.0
21,21,4.8,2.45,6.549999999999999
22,22,4.4,3.0,6.549999999999999
23,23,4.0,1.45,6.549999999999999
24,24,3.8,1.9,6.0
25,25,3.6,1.45,5.549999999999999
26,26,3.7,1.45,6.099999999999998
27,27,3.8,2.45,5.549999999999999
28,28,3.4,2.0,5.549999999999999
29,29,3.3,2.45,4.0
30,30,3.8,1.0,6.0
31,31,3.3,1.45,5.549999999999999
32,32,2.8,1.45,4.549999999999999
33,33,3.0,1.0,6.099999999999998
34,34,2.6,0.45,5.099999999999998
35,35,2.6,1.0,5.0
36,36,3.6,2.0,5.549999999999999
37,37,2.5,0.45,5.0
38,38,3.0,1.9,4.0
39,39,2.3,1.0,3.549999999999999
40,40,1.0,0.0,2.0
41,41,1.3,0.0,2.549999999999999
42,42,1.0,0.0,2.0
43,43,1.4,0.45,2.549999999999999
44,44,1.7,1.0,3.549999999999999
45,45,2.2,0.45,4.0
46,46,1.4,0.45,2.549999999999999
47,47,1.5,0.45,3.0
48,48,1.7,0.0,3.549999999999999
49,49,1.8,0.45,3.549999999999999
50,50,1.9,0.0,3.549999999999999
51,51,1.7,0.0,3.0
52,52,1.6,0.45,2.549999999999999
53,53,1.5,0.45,3.0
54,54,1.8,0.0,3.0
55,55,1.7,0.0,3.0
56,56,1.4,0.0,2.549999999999999
57,57,1.4,0.45,2.549999999999999
58,58,1.1,0.45,2.099999999999998
59,59,1.0,0.0,2.0
60,60,1.2,0.0,3.549999999999999
61,61,1.2,0.0,3.0
62,62,1.4,0.0,3.0
63,63,1.5,0.0,3.0
64,64,1.5,0.45,2.549999999999999
65,65,1.0,0.0,2.099999999999998
66,66,1.6,1.0,3.0
67,67,1.4,0.45,2.0
68,68,1.2,0.0,2.549999999999999
69,69,0.6,0.0,1.549999999999999
70,70,0.5,0.0,1.0
71,71,0.8,0.0,2.549999999999999
72,72,1.1,0.0,2.549999999999999
73,73,0.9,0.0,3.099999999999998
74,74,1.1,0.0,3.0
75,75,1.1,0.0,2.549999999999999
76,76,0.7,0.0,2.0
77,77,0.9,0.0,2.0
78,78,0.8,0.0,2.0
79,79,0.6,0.0,2.0
80,80,1.1,0.0,4.0
81,81,0.7,0.0,2.0
82,82,0.7,0.0,2.0
83,83,1.2,0.0,3.549999999999999
84,84,1.0,0.0,3.0
85,85,1.1,0.0,3.099999999999998
86,86,1.2,0.0,3.099999999999998
87,87,0.9,0.0,2.0
88,88,0.4,0.0,1.0
89,89,0.8,0.0,2.0
90,90,0.8,0.0,2.549999999999999
91,91,1.4,0.0,3.0
92,92,1.1,0.0,2.549999999999999
93,93,0.4,0.0,1.0
