,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2,42,32.0,41.0,32.0,37.0,39.0,33.0,35.0,43.0,50.0,35.0,41.0,43.0,36.0,44.0,40.0,33.0,36.0,36.0,46.0,36.0,37.0,35.0,37.0,32.0,38.0,32.0,37.0,46.0,38.0
1,3,21,19.0,21.0,24.0,24.0,19.0,19.0,18.0,22.0,36.0,16.0,21.0,22.0,22.0,24.0,25.0,27.0,19.0,16.0,27.0,22.0,23.0,18.0,23.0,24.0,21.0,19.0,24.0,27.0,21.0
2,4,18,18.0,15.0,13.0,15.0,25.0,15.0,16.0,23.0,16.0,19.0,15.0,23.0,17.0,21.0,20.0,20.0,15.0,10.0,18.0,17.0,21.0,16.0,21.0,13.0,11.0,18.0,15.0,18.0,11.0
3,5,15,13.0,12.0,13.0,15.0,13.0,8.0,19.0,17.0,16.0,15.0,12.0,17.0,14.0,14.0,11.0,11.0,9.0,11.0,20.0,14.0,15.0,19.0,15.0,13.0,16.0,13.0,15.0,20.0,16.0
4,6,15,10.0,7.0,15.0,13.0,19.0,9.0,19.0,14.0,13.0,14.0,7.0,14.0,11.0,21.0,9.0,4.0,17.0,7.0,16.0,11.0,14.0,19.0,14.0,15.0,17.0,10.0,13.0,16.0,17.0
5,7,17,6.0,6.0,15.0,12.0,16.0,9.0,16.0,13.0,10.0,16.0,6.0,13.0,16.0,14.0,8.0,6.0,14.0,7.0,20.0,16.0,8.0,16.0,8.0,15.0,16.0,6.0,12.0,20.0,16.0
6,8,14,6.0,9.0,15.0,9.0,12.0,8.0,13.0,13.0,9.0,15.0,9.0,13.0,15.0,14.0,12.0,8.0,12.0,10.0,12.0,15.0,2.0,13.0,2.0,15.0,14.0,6.0,9.0,12.0,14.0
7,9,18,11.0,10.0,11.0,7.0,9.0,4.0,16.0,7.0,10.0,14.0,10.0,7.0,9.0,14.0,11.0,9.0,12.0,10.0,13.0,9.0,7.0,16.0,7.0,11.0,12.0,11.0,7.0,13.0,12.0
8,10,10,13.0,12.0,9.0,7.0,12.0,7.0,6.0,9.0,6.0,14.0,12.0,9.0,10.0,12.0,10.0,14.0,12.0,13.0,11.0,10.0,4.0,6.0,4.0,9.0,9.0,13.0,7.0,11.0,9.0
9,11,8,15.0,6.0,10.0,3.0,13.0,9.0,4.0,11.0,5.0,11.0,6.0,11.0,8.0,7.0,10.0,3.0,10.0,12.0,9.0,8.0,9.0,4.0,9.0,10.0,9.0,15.0,3.0,9.0,9.0
10,12,9,12.0,7.0,6.0,5.0,15.0,7.0,5.0,12.0,7.0,6.0,7.0,12.0,11.0,6.0,9.0,3.0,2.0,10.0,6.0,11.0,8.0,5.0,8.0,6.0,6.0,12.0,5.0,6.0,6.0
11,13,10,9.0,8.0,10.0,7.0,9.0,3.0,5.0,11.0,4.0,3.0,8.0,11.0,10.0,4.0,9.0,6.0,5.0,9.0,6.0,10.0,6.0,5.0,6.0,10.0,4.0,9.0,7.0,6.0,4.0
12,14,11,4.0,7.0,6.0,8.0,21.0,6.0,3.0,10.0,4.0,2.0,7.0,10.0,10.0,3.0,8.0,4.0,7.0,2.0,8.0,10.0,6.0,3.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0
13,15,11,3.0,12.0,8.0,8.0,6.0,5.0,3.0,3.0,8.0,2.0,12.0,3.0,10.0,9.0,6.0,7.0,9.0,5.0,9.0,10.0,4.0,3.0,4.0,8.0,2.0,3.0,8.0,9.0,2.0
14,16,6,3.0,10.0,14.0,7.0,4.0,5.0,6.0,3.0,8.0,2.0,10.0,3.0,6.0,10.0,7.0,4.0,7.0,4.0,9.0,6.0,2.0,6.0,2.0,14.0,4.0,3.0,7.0,9.0,4.0
