,index,mean,lower_bound,upper_bound
0,2,38.06666666666667,32.0,46.0
1,3,22.133333333333333,16.9,27.0
2,4,17.1,11.0,23.0
3,5,14.366666666666667,9.9,19.549999999999997
4,6,13.333333333333334,7.0,19.0
5,7,12.433333333333334,6.0,18.64999999999999
6,8,11.0,3.8000000000000007,15.0
7,9,10.566666666666666,7.0,16.0
8,10,9.666666666666666,4.9,13.549999999999997
9,11,8.533333333333333,3.0,14.099999999999994
10,12,7.666666666666667,3.9000000000000004,12.0
11,13,7.133333333333334,3.45,10.549999999999997
12,14,6.8,2.45,10.549999999999997
13,15,6.4,2.0,11.549999999999997
14,16,6.166666666666667,2.0,12.199999999999989
15,17,5.233333333333333,1.0,10.549999999999997
16,18,4.833333333333333,1.0,10.099999999999994
17,19,4.8,1.0,9.549999999999997
18,20,5.433333333333334,2.45,9.0
19,21,5.2,2.0,10.0
20,22,3.966666666666667,0.0,8.0
21,23,4.7,2.45,9.0
22,24,3.566666666666667,2.0,7.099999999999994
23,25,3.5,1.4500000000000002,6.549999999999997
24,26,4.233333333333333,1.4500000000000002,7.549999999999997
25,27,3.9,1.0,7.0
26,28,4.2,1.4500000000000002,7.099999999999994
27,29,3.8,1.0,7.549999999999997
28,30,3.3666666666666667,1.0,9.199999999999989
29,31,3.8333333333333335,0.0,8.649999999999991
30,32,3.066666666666667,1.0,6.0
31,33,3.3333333333333335,0.4500000000000002,7.099999999999994
32,34,2.9,0.0,6.549999999999997
33,35,3.8333333333333335,0.4500000000000002,8.0
34,36,3.6666666666666665,1.0,8.549999999999997
35,37,3.3,1.0,7.0
36,38,3.1,1.0,7.099999999999994
37,39,3.466666666666667,1.0,9.099999999999994
38,40,3.6333333333333333,0.0,8.549999999999997
39,41,3.2666666666666666,0.4500000000000002,8.199999999999989
40,42,3.0,1.0,6.0
41,43,2.533333333333333,0.0,6.0
42,44,2.966666666666667,0.0,7.0
43,45,2.6,1.0,4.0
44,46,2.2666666666666666,0.0,5.0
45,47,2.3,0.0,7.549999999999997
46,48,2.6333333333333333,0.0,7.549999999999997
47,49,2.966666666666667,0.0,6.549999999999997
48,50,2.3,0.0,5.0
49,51,2.566666666666667,0.0,5.0
50,52,1.9333333333333333,0.0,4.0
51,53,2.6333333333333333,1.0,6.0
52,54,2.3666666666666667,0.0,5.549999999999997
53,55,2.5,0.0,8.0
54,56,2.1333333333333333,0.0,6.549999999999997
55,57,2.2,0.0,5.0
56,58,3.0,0.4500000000000002,7.0
57,59,3.066666666666667,0.0,8.0
