variable,mean,lower_bound,upper_bound
2.0,2962600.3333333335,2960761.3,2964787.5
3.0,1565110.8666666667,1563673.8,1566569.7
4.0,1285008.5333333334,1283795.1,1285944.0
5.0,331119.4,330251.6,331930.1
6.0,210033.8,209294.2,210715.9
7.0,158734.0,158222.0,159218.8
8.0,135650.8,135175.7,136157.5
9.0,117455.93333333333,116971.2,117773.5
10.0,112612.4,112365.0,112895.5
11.0,106416.46666666666,105851.9,106747.7
12.0,98071.86666666667,97660.4,98614.8
13.0,91553.13333333333,91018.7,92107.8
14.0,86716.26666666666,86229.8,87115.5
15.0,83555.73333333334,83148.4,83962.7
16.0,83939.2,83591.5,84348.1
17.0,81693.33333333333,81392.1,81998.0
18.0,78907.6,78645.1,79210.0
19.0,75059.13333333333,74675.5,75430.4
20.0,76778.13333333333,76417.4,77126.9
21.0,78756.66666666667,78425.4,79016.1
22.0,83483.66666666667,83021.7,83894.9
23.0,89731.6,89319.1,90209.9
24.0,91540.53333333334,91258.8,91926.8
25.0,91225.8,90845.1,91688.1
26.0,89160.73333333334,88732.2,89629.2
27.0,83819.6,83455.7,84164.1
28.0,80973.26666666666,80675.3,81306.6
29.0,77572.93333333333,77262.5,77960.5
30.0,76924.06666666667,76544.2,77172.9
31.0,73129.4,72767.6,73567.4
32.0,69847.73333333334,69437.4,70087.8
33.0,65555.26666666666,65202.5,65912.9
34.0,60371.333333333336,60075.3,60577.9
35.0,58338.2,58011.1,58680.1
36.0,57460.666666666664,57104.1,57801.7
37.0,54959.333333333336,54597.4,55174.2
38.0,54349.86666666667,53834.0,54767.3
39.0,54799.4,54583.7,55093.8
40.0,54928.2,54570.0,55321.0
41.0,56161.73333333333,55795.3,56504.7
42.0,56438.53333333333,56193.1,56749.1
43.0,52982.8,52644.9,53343.9
44.0,52172.066666666666,51752.3,52526.5
45.0,50100.666666666664,49702.7,50363.5
46.0,44917.46666666667,44530.5,45223.8
47.0,45070.4,44634.1,45359.6
48.0,44496.2,44328.7,44768.2
49.0,41568.53333333333,41367.6,41800.6
50.0,42492.86666666667,42225.8,42676.9
51.0,40403.53333333333,40155.7,40647.0
52.0,37945.066666666666,37644.5,38216.2
53.0,35986.6,35718.2,36204.4
54.0,33965.6,33517.7,34288.3
55.0,35264.46666666667,34825.8,35572.0
56.0,34143.8,33888.6,34318.2
57.0,31436.733333333334,31135.8,31726.4
58.0,30258.8,29956.8,30501.6
