variable,mean,lower_bound,upper_bound
2.0,195.36833465259454,195.30278364116094,195.44184579302257
3.0,98.25522574025211,98.211178393433,98.30958663148637
4.0,80.46210817941952,80.42289313984169,80.50908150102609
5.0,21.38009058927001,21.35908223394899,21.407065376722368
6.0,13.86435121665201,13.8469157138669,13.884637936089124
7.0,10.225627675168573,10.210445470536499,10.244303136909998
8.0,8.47711975960129,8.462327763119319,8.493696863090003
9.0,7.656142333626502,7.643456317795367,7.67077103488713
10.0,7.328401055408971,7.31559659923776,7.3450600996775135
11.0,7.005156259161536,6.993110524772794,7.020082087364409
12.0,6.654007329228965,6.6409643799472295,6.669498387569628
13.0,6.317884198182352,6.306801524479625,6.331620932277925
14.0,6.135132805628848,6.123227645851657,6.149123131046614
15.0,5.853596012899443,5.842714746408678,5.867340955731457
16.0,6.1154270008795075,6.104611404280269,6.129580768103196
17.0,5.834929785986515,5.823805335678687,5.8495042509528
18.0,5.463671503957784,5.452456610964527,5.477425974787453
19.0,5.496159190853123,5.483142773380241,5.508941659337438
20.0,5.45423732043389,5.443711521547933,5.467165054236294
21.0,5.606441366168279,5.5965492524186455,5.620639108765758
22.0,5.474247141600704,5.4626209322779244,5.48714717091762
23.0,5.101707856933451,5.090685869246555,5.115848431545002
24.0,5.149424215772501,5.138179272940486,5.161096452653181
25.0,5.008746995016124,4.998534154206977,5.020715039577837
26.0,4.8117648783348,4.800938141307534,4.823119026678394
27.0,4.819446203459396,4.808363969510407,4.831427733802404
28.0,4.520593081207857,4.510260920551158,4.5326883611844035
29.0,4.393220316622691,4.383465259454705,4.405599530929346
30.0,4.177719290530637,4.167253004983876,4.189873644092642
31.0,4.248036939313985,4.2375636177074165,4.2586218117854004
32.0,4.0276929053063615,4.01827308707124,4.039038111990619
33.0,4.042514658457931,4.032052037525652,4.054136323658751
34.0,4.014672676634418,4.004104368220463,4.025992084432718
35.0,3.9635398710055703,3.953679272940487,3.9751272354148344
36.0,3.7633751099384343,3.754274259747875,3.7735268249780125
37.0,3.6952175315156848,3.685282908238053,3.7070240398710057
38.0,3.835426854294928,3.825710935209616,3.8471122837877454
39.0,3.6156805922017003,3.6059806508355323,3.6272820287305776
40.0,3.654638229258282,3.645265318088537,3.664614482556435
41.0,3.5316953972442096,3.522134271474641,3.5413834652594547
42.0,3.408898270301964,3.4000293169158606,3.4192318968044564
43.0,3.1412047786572854,3.132805628847845,3.152154793315743
44.0,3.139937554969217,3.1306068601583115,3.149662855467605
45.0,2.8576310466138963,2.8486747288185286,2.866754617414248
46.0,2.801162269129288,2.79287598944591,2.810759308120786
47.0,2.886077103488713,2.878041630020522,2.8955318088537085
48.0,2.7513340662562302,2.743770155379654,2.7604807974201115
49.0,2.7415240398710057,2.733069481090589,2.7513925535033716
50.0,2.651032102022867,2.6432131339783056,2.660116974494283
51.0,2.577293902081501,2.5687481676927586,2.586484901788332
52.0,2.533967458223395,2.5259454705364996,2.5423629434183526
53.0,2.5384308120785697,2.530293022574025,2.5470536499560246
54.0,2.67233201407212,2.664614482556435,2.6811785400175903
55.0,2.6197203166226912,2.611111111111111,2.6291410143652887
56.0,2.350278803869833,2.342664761067136,2.359178833186749
57.0,2.2492025798885957,2.241864555848725,2.257842274992671
58.0,2.302486807387863,2.2952213427147465,2.310952506596306
59.0,2.1681553796540602,2.1615362063910877,2.1768276165347404
60.0,2.097488859571973,2.0908824391673995,2.105394312518323
61.0,2.0980035180299033,2.0914687774846086,2.1067135737320433
62.0,2.0068644092641454,1.9998534154206977,2.01495162708883
63.0,1.8880678686602168,1.8814130753444738,1.8962181178540019
64.0,1.8545851656405745,1.8476486367634124,1.8620639108765757
65.0,1.7235944004690706,1.7173849311052478,1.731210495455878
