,Unnamed: 0,filename,mean,std,alpha,beta,protein_name
0,0,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B7HIJ2-F1-model_v2.pdb,90.9578728606357,13.74989517180656,0.5688073394495413,0.1651376146788991, NUCLEOID-ASSOCIATED PROTEIN
1,1,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-F5WVJ2-F1-model_v2.pdb,91.0558790593505,10.504712803335376,0.3119266055045872,0.2110091743119266, CRISPR-ASSOCIATED
2,2,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-C4LF00-F1-model_v2.pdb,97.65875171467763,2.30619282106444,0.4193548387096774,0.2903225806451613, INTEGRATION HOST FACTOR SUBUNIT
3,3,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-O68891-F1-model_v2.pdb,96.22285549132948,5.478533858018266,0.3363636363636363,0.1090909090909091, DNA TOPOISOMERASE 4 SUBUNIT A
5,5,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-C1APC6-F1-model_v2.pdb,96.4148730964467,3.643636809163813,0.0,0.3173076923076923, UREASE SUBUNIT BETA (C1APC6)
6,6,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q2L282-F1-model_v2.pdb,92.24371571072318,8.602733800187318,0.0,0.490566037735849, 50S RIBOSOMAL PROTEIN L24
7,7,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q4L5X6-F1-model_v2.pdb,95.17656375838928,4.969551342046572,0.7528089887640449,0.0, 30S RIBOSOMAL PROTEIN S15
9,9,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P0A7M1-F1-model_v2.pdb,91.95269470404985,11.007633024163043,0.0,0.3647058823529411, 50S RIBOSOMAL PROTEIN L27
11,11,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q5NF56-F1-model_v2.pdb,96.43751445086704,6.978447146284809,0.063063063063063,0.4684684684684684, ASPARTATE 1-DECARBOXYLASE
12,12,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P01655-F1-model_v2.pdb,96.82940968122789,3.669610755786693,0.0,0.5178571428571429, IG KAPPA CHAIN V-III REGION PC
14,14,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A3MNR5-F1-model_v2.pdb,93.57293281653746,4.423711661164124,0.3535353535353535,0.0404040404040404, ASPARTYL/GLUTAMYL-TRNA(ASN/GLN)
15,15,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A6TJA7-F1-model_v2.pdb,91.01256081946222,4.776136594167648,0.2978723404255319,0.5319148936170213, 30S RIBOSOMAL PROTEIN S6
16,16,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P28214-F1-model_v2.pdb,93.92433507853404,5.263857428643336,0.1913043478260869,0.3739130434782609, TYROSINE-PROTEIN PHOSPHATASE 22
19,19,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q5HGY7-F1-model_v2.pdb,90.82025165562914,13.35702611209494,0.6153846153846154,0.0439560439560439, UPF0223 PROTEIN SACOL1106
20,20,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P67250-F1-model_v2.pdb,94.72159707724424,8.551342693071932,0.7454545454545455,0.0, UPF0122 PROTEIN MW1119 (P67250)
21,21,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q87KJ1-F1-model_v2.pdb,96.93796208530804,2.2797181414046954,0.3365384615384615,0.3653846153846154, IRON-SULFUR CLUSTER ASSEMBLY
22,22,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q8FP19-F1-model_v2.pdb,94.72635083226632,10.403890874396009,0.2323232323232323,0.3838383838383838, ACYLPHOSPHATASE (Q8FP19)
23,23,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P49166-F1-model_v2.pdb,93.72501449275364,5.699769643178327,0.2045454545454545,0.1022727272727272, 60S RIBOSOMAL PROTEIN L37-A
24,24,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B1HW98-F1-model_v2.pdb,92.526115942029,8.18499967603557,0.6395348837209303,0.1627906976744186, CELL DIVISION PROTEIN ZAPA
25,25,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P0C231-F1-model_v2.pdb,96.64610644257702,1.6535706107028936,0.5612244897959183,0.0714285714285714, ELICITIN VEX1 (P0C231)
26,26,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B6DD47-F1-model_v2.pdb,90.50809375,8.729435609116488,0.1395348837209302,0.2093023255813953, U15-LYCOTOXIN-LS1E (B6DD47)
27,27,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P9WFB0-F1-model_v2.pdb,92.28069221260816,10.939746067447071,0.5625,0.1071428571428571, RIBONUCLEASE VAPC8 (P9WFB0)
31,31,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B4TJ24-F1-model_v2.pdb,96.0529375764994,2.5277191691447234,0.0,0.6407766990291263, 50S RIBOSOMAL PROTEIN L21
32,32,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A8FSH9-F1-model_v2.pdb,95.1714537444934,4.626805804675043,0.8181818181818182,0.0, 30S RIBOSOMAL PROTEIN S20
33,33,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P59993-F1-model_v2.pdb,92.2208021978022,7.255888485094505,0.7345132743362832,0.0, FLAGELLAR TRANSCRIPTIONAL
34,34,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q3B058-F1-model_v2.pdb,92.05545256270447,9.009556960047645,0.3304347826086956,0.2, NAD(P)H-QUINONE OXIDOREDUCTASE
35,35,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B1IXR3-F1-model_v2.pdb,94.76060446780552,6.355799685937189,0.77,0.02, NADH-QUINONE OXIDOREDUCTASE
36,36,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q176V0-F1-model_v2.pdb,92.94668195718651,11.058746016408175,0.2209302325581395,0.3372093023255814, UBIQUITIN-FOLD MODIFIER 1
38,38,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P79144-F1-model_v2.pdb,97.33008827238336,2.930796751957978,0.7522935779816514,0.0, AQUAPORIN-2 (P79144)
40,40,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q034Y5-F1-model_v2.pdb,90.90654320987652,10.906032701453354,0.23,0.35, 50S RIBOSOMAL PROTEIN L23
41,41,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q8TIP5-F1-model_v2.pdb,91.10696278511404,12.210985431368655,0.2385321100917431,0.3394495412844037, UPF0235 PROTEIN MA_4097
43,43,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P00051-F1-model_v2.pdb,98.21488888888892,1.697181690158336,0.3963963963963964,0.018018018018018, CYTOCHROME C (P00051)
47,47,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P10024-F1-model_v2.pdb,94.94018867924528,4.031450151098766,0.3508771929824561,0.2894736842105263, UNCHARACTERIZED 13.4 KDA
48,48,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A2BQW7-F1-model_v2.pdb,96.29719512195123,6.309833706283535,0.0,0.3018867924528302, UREASE SUBUNIT BETA (A2BQW7)
49,49,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A0A0A0MS05-F1-model_v2.pdb,91.3391857798165,13.65081001738078,0.0,0.4122807017543859, PROBABLE NON-FUNCTIONAL T CELL
50,50,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A1KPA9-F1-model_v2.pdb,91.71836842105262,8.79948612261879,0.0,0.39, 10 KDA CHAPERONIN (A1KPA9)
51,51,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B0V6V8-F1-model_v2.pdb,95.83285,1.7592218102047283,0.5148514851485149,0.0396039603960396, 30S RIBOSOMAL PROTEIN S14
52,52,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P0A677-F1-model_v2.pdb,97.22658944658944,2.391830599998813,0.48,0.18, UREASE SUBUNIT GAMMA (P0A677)
57,57,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P54499-F1-model_v2.pdb,96.16896805896806,3.3143967349163987,0.3942307692307692,0.2884615384615384, UPF0045 PROTEIN YQGV (P54499)
59,59,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q6HMG1-F1-model_v2.pdb,90.22698309492849,12.428899269932671,0.3495145631067961,0.3689320388349514, UPF0145 PROTEIN BT9727_0921
