,Unnamed: 0,filename,mean,std,alpha,beta,protein_name
0,0,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-C5BQ61-F1-model_v2.pdb,92.82598873591988,7.403603898151506,0.0841121495327102,0.3551401869158878, 50S RIBOSOMAL PROTEIN L3
1,1,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q5LLN0-F1-model_v2.pdb,96.4883812010444,3.666885883038746,0.3819095477386934,0.2613065326633166, NUCLEOSIDE TRIPHOSPHATE
2,2,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q0TJ59-F1-model_v2.pdb,97.4684352399737,2.5498564082595645,0.3673469387755102,0.173469387755102, PROBABLE MALONIC SEMIALDEHYDE
3,3,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q21YG1-F1-model_v2.pdb,94.34316250842886,6.660580369731736,0.4285714285714285,0.1377551020408163, RECOMBINATION PROTEIN RECR
4,4,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q6NDP2-F1-model_v2.pdb,94.05049118387907,6.746454895945019,0.5188679245283019,0.1132075471698113, CYTIDYLATE KINASE (Q6NDP2)
5,5,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q3SWG9-F1-model_v2.pdb,94.74240289664256,4.581943302810431,0.5125628140703518,0.1457286432160804, DEPHOSPHO-COA KINASE (Q3SWG9)
6,6,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B7LGV3-F1-model_v2.pdb,93.20175303902752,14.90286737228704,0.541871921182266,0.0147783251231527, ENDO-TYPE MEMBRANE-BOUND LYTIC
7,7,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B7USY2-F1-model_v2.pdb,94.76485579752796,5.671531710923499,0.7677725118483413,0.0, PROTEIN-METHIONINE-SULFOXIDE
8,8,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q1BZ35-F1-model_v2.pdb,90.7881958041958,12.277602711982055,0.4352331606217616,0.1968911917098445, HOLLIDAY JUNCTION ATP-DEPENDENT
9,9,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B4JWF5-F1-model_v2.pdb,90.66850230414748,12.423641496493886,0.3649289099526066,0.1327014218009478, PROTEIN CROSSBRONX-LIKE
10,10,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q8FPR2-F1-model_v2.pdb,96.4384996780425,3.868326665882716,0.336734693877551,0.1989795918367347, 3-ISOPROPYLMALATE DEHYDRATASE
11,11,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-C4L4Q4-F1-model_v2.pdb,94.71047244094488,6.9904741468781575,0.2976744186046511,0.1860465116279069, TRNA
12,12,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q12YV7-F1-model_v2.pdb,95.0077409261577,9.850079081553393,0.3380952380952381,0.3142857142857143, PROTEASOME SUBUNIT BETA
13,13,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q8ZRM8-F1-model_v2.pdb,97.54185286103542,4.876576134521927,0.3138297872340425,0.175531914893617, D-GLYCERO-BETA-D-MANNO-
14,14,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q3K419-F1-model_v2.pdb,96.0850790513834,4.44370262033145,0.3403141361256545,0.2303664921465968, PEPTIDYL-TRNA HYDROLASE
15,15,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-C6DJM6-F1-model_v2.pdb,91.73654031702272,10.30476962065614,0.3064516129032258,0.1935483870967742, PROBABLE RNA
16,16,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q5HIE6-F1-model_v2.pdb,90.19846803377564,13.151384744310633,0.3286384976525822,0.1877934272300469, SERINE ACETYLTRANSFERASE
17,17,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B1JYC0-F1-model_v2.pdb,92.9369088416724,7.429859535702635,0.0216216216216216,0.5297297297297298, ELONGATION FACTOR P (B1JYC0)
19,19,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q5RD87-F1-model_v2.pdb,92.77436866981768,11.805389767914813,0.3809523809523809,0.2328042328042328, GTPASE NRAS (Q5RD87)
21,21,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q48UU5-F1-model_v2.pdb,95.59416990920884,5.17372363674798,0.5380710659898477,0.1269035532994923, DEPHOSPHO-COA KINASE (Q48UU5)
22,22,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q6N5H2-F1-model_v2.pdb,94.98727961432508,4.711585345722307,0.417910447761194,0.1492537313432835, POTASSIUM-TRANSPORTING ATPASE
23,23,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A9MF25-F1-model_v2.pdb,95.34604813172896,6.852629102130283,0.3930348258706467,0.1442786069651741, ADENYLYL-SULFATE KINASE
24,24,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q5HRN4-F1-model_v2.pdb,95.09588797814207,7.032374590484619,0.2311827956989247,0.3602150537634409, PYRIDOXAL 5'-PHOSPHATE SYNTHASE
25,25,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q0I4M6-F1-model_v2.pdb,93.8537484957882,11.088386660853615,0.4454976303317535,0.1563981042654028, RIBONUCLEASE HII (Q0I4M6)
26,26,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q92TF1-F1-model_v2.pdb,96.09632343234324,3.747699318144387,0.3618090452261306,0.2562814070351759, 7-METHYL-GTP PYROPHOSPHATASE
28,28,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P64309-F1-model_v2.pdb,94.37872594558723,6.411501503450099,0.3025641025641025,0.2666666666666666, DITP/XTP PYROPHOSPHATASE
29,29,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q3IJJ5-F1-model_v2.pdb,95.26475816203144,3.768890802324433,0.3980582524271844,0.0922330097087378, 30S RIBOSOMAL PROTEIN S4
30,30,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B5RLM3-F1-model_v2.pdb,91.45445294117648,8.386115702938971,0.3203883495145631,0.2135922330097087, URIDINE KINASE (B5RLM3)
31,31,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q0VCF9-F1-model_v2.pdb,90.87707429322812,13.071590030700422,0.3282051282051282,0.2666666666666666, PROTEIN LSM12 HOMOLOG (Q0VCF9)
32,32,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-D3Z8D9-F1-model_v2.pdb,90.3382857142857,13.523633285332444,0.3507109004739336,0.2748815165876777, MITOTIC SPINDLE ASSEMBLY
33,33,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q9I234-F1-model_v2.pdb,97.143629675046,7.573701567508115,0.0845070422535211,0.2582159624413145,MAMIDASE (Q9I234)
34,34,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q484U8-F1-model_v2.pdb,96.62174086378738,2.740091062208323,0.390625,0.2395833333333333, FMN-DEPENDENT NADH:QUINONE
35,35,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q668Z7-F1-model_v2.pdb,95.7076220275344,5.309208966704039,0.6395939086294417,0.0101522842639593, 5'-DEOXYNUCLEOTIDASE YPTB2590
36,36,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A1T8W3-F1-model_v2.pdb,96.3973067331671,7.472471764249818,0.3125,0.2980769230769231, IMIDAZOLEGLYCEROL-PHOSPHATE
37,37,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q1H0F5-F1-model_v2.pdb,96.1951681759379,5.249847703469228,0.354679802955665,0.1970443349753694, UREASE ACCESSORY PROTEIN UREG
38,38,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P71037-F1-model_v2.pdb,97.65672571777642,1.6619543900273015,0.2676056338028169,0.2206572769953051, UNCHARACTERIZED PROTEIN YWNB
40,40,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B9M1X7-F1-model_v2.pdb,97.07189803439805,3.0274985249940825,0.4953271028037383,0.1775700934579439, PROBABLE TRANSALDOLASE (B9M1X7)
41,41,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-B7UKF4-F1-model_v2.pdb,95.63191167574108,2.4662232183149504,0.4532710280373832,0.1635514018691588, ADENYLATE KINASE (B7UKF4)
42,42,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P81657-F1-model_v2.pdb,97.01658659924146,3.070006626622635,0.2673267326732673,0.198019801980198, VENOM ALLERGEN 5 (P81657)
43,43,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q32KY0-F1-model_v2.pdb,90.94479125248508,13.55938209687553,0.0899470899470899,0.3915343915343915, APOLIPOPROTEIN D (Q32KY0)
44,44,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P40429-F1-model_v2.pdb,95.91645820805772,6.562703857674751,0.5221674876847291,0.1034482758620689, 60S RIBOSOMAL PROTEIN L13A
45,45,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A5ITC1-F1-model_v2.pdb,96.67671593830336,4.323464013807908,0.3915343915343915,0.1904761904761904, PROBABLE NICOTINATE-NUCLEOTIDE
46,46,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A0Q087-F1-model_v2.pdb,93.79213260423786,6.9170027342692615,0.0216216216216216,0.5243243243243243, ELONGATION FACTOR P (A0Q087)
49,49,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q83NK8-F1-model_v2.pdb,94.17910638297872,7.184284951564659,0.0216216216216216,0.5351351351351351, ELONGATION FACTOR P (Q83NK8)
50,50,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q165F9-F1-model_v2.pdb,93.00394671623296,12.522709328319182,0.4326923076923077,0.2307692307692307, ATP-DEPENDENT CLP PROTEASE
51,51,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q9P4T6-F1-model_v2.pdb,91.87078443877552,10.174718874141885,0.435,0.145," SUPEROXIDE DISMUTASE [MN],"
53,53,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-P49546-F1-model_v2.pdb,92.3182593457944,4.492565718659892,0.2837209302325581,0.1953488372093023," 50S RIBOSOMAL PROTEIN L4,"
54,54,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-Q8VPZ0-F1-model_v2.pdb,92.65430036630036,4.73565047164944,0.7883597883597884,0.0211640211640211, PUTATIVE K(+)-STIMULATED
56,56,/home/jguven/Projects/sequence_distance_distribution/data/alphafold/pdb_files/AF-A1AXP4-F1-model_v2.pdb,93.62388888888889,6.165096806800926,0.410377358490566,0.2688679245283019, OROTATE
